Query,Intent,Aggregation,Paid Status,split
When was dylan sollfrank first payment?,Invoice,Min,TRUE,train
How much credit does bill's windsurf shop have This fiscal year to date?,Sales,Total,FALSE,train
How much revenue came through 0969 ocean view road last month?,Sales,Total,None,train
What is my last revenue for geeta kalapatapu in the This year to date?,Sales,Max,None,train
"In the This week, what has been my last sales from rondonuwu fruit and vegi?",Sales,Max,None,train
"Since This quarter, how many invoices have been late?",Invoice,Count,FALSE,train
How many sprinkler heads did I sell This fiscal year?,Invoice,Count,None,train
"As of This week, how many invoices for kookies by kathy were still unpaid?",Invoice,Count,FALSE,train
Number of invoices created for truck?,Invoice,Count,None,train
Who are my outstanding debtors?,Invoice,List,FALSE,train
When was pye's cake first payment?,Invoice,Min,TRUE,train
"Since Last quarter, how many invoices have been late?",Invoice,Count,FALSE,train
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
How much money did we make This fiscal year to date?,Sales,Total,None,train
What was the max invoice I received from united state treasury?,Bill,Max,None,test
"Since This week, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
What was our Net Income as of Last month?,Sales,Total,None,train
What was our biggest expense Last month?,Expense,Max,None,train
What's the total number of invoices we've issued rondonuwu fruit and vegi?,Invoice,Count,None,train
Number of invoices created for building repairs?,Invoice,Count,None,train
How much we received from penalty & settlement in This quarter?,Invoice,Total,None,train
What was the first invoice for 55 twin lane?,Invoice,Min,None,train
How much money does sonnenschein family store still owe?,Sales,Total,FALSE,train
When was kookies by kathy last payment?,Invoice,Max,TRUE,train
"Last quarter, what are my account payable?",Account Payable,Total,None,test
How much we received from travel in yesterday?,Invoice,Total,None,train
What are my expenses for the Last fiscal year?,Expense,Total,None,train
What was the first invoice for services?,Invoice,Min,None,train
What was our Net Income as of This week to date?,Sales,Total,None,train
Number of invoices created for depreciation?,Invoice,Count,None,train
How many invoices are still oustanding for mark cho as of Last fiscal year?,Invoice,Count,FALSE,train
What was the first invoice for trimming?,Invoice,Min,None,train
How much we received from savings in yesterday?,Invoice,Total,None,train
When was the first time we billed for labor?,Expense,Min,None,train
"Since yesterday, how many invoices have been late?",Invoice,Count,FALSE,train
What is my lowest revenue for kookies by kathy in the Last quarter?,Sales,Min,None,train
How many pest control did I sell This quarter to date?,Invoice,Count,None,train
What are my AP Last 7 days?,Account Payable,Total,None,train
How much we received from insurance in This month to date?,Invoice,Total,None,train
"This week to date, how many invoices were paid?",Invoice,Count,TRUE,train
How much did I spend This fiscal year to date?,Expense,Total,None,train
What are my AR This year?,Account Receivables,Total,None,train
What was our total income from red rock diner in This quarter?,Sales,Total,None,train
Show number of transactions with jeff's jalopies,Invoice,Count,None,train
"This week to date, how much has bill's windsurf shop paid us?",Sales,Total,TRUE,test
"As of today, how many invoices for freeman sporting good remained unpaid?",Invoice,Count,FALSE,train
"In the Last 12 months, what has been my lowest sales from pye's cakes?",Sales,Min,None,train
How much money did we make This week?,Sales,Total,None,train
Number of invoices created for lawyer?,Invoice,Count,None,train
Show all transactions with freeman sporting goods,Invoice,Count,None,train
How much did we spend on commission Last quarter?,Expense,Total,None,train
Show how many transactions you've had with video game by dan,Invoice,Count,None,test
How many 0969 ocean view road invoices are still outstanding?,Invoice,Count,FALSE,test
What is my mean revenue for gevelber photography in the Last 12 months?,Sales,Average,None,train
"today, what are my AP?",Account Payable,Total,None,test
"As of This month to date, how many invoices for pye's cakes were still unpaid?",Invoice,Count,FALSE,train
How much did we spend on books by bessie in yesterday?,Expense,Total,TRUE,train
What was the most recent invoice for trimming?,Invoice,Max,None,train
What are my last sales by account?,Sales,Max,None,train
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
How much did we spend on chin's gas and oil in This year to date?,Expense,Total,TRUE,train
"Since This year to date, how many invoices have been past due?",Invoice,Count,FALSE,train
"Last quarter, how much has amy's bird sanctuary paid us?",Sales,Total,TRUE,test
What was our total income from amy's bird sanctuary in This fiscal year?,Sales,Total,None,train
What was the most recent invoice for travis waldron?,Invoice,Max,None,train
"This week, what are my AP?",Account Payable,Total,None,test
"This month to date, what are my AP?",Account Payable,Total,None,test
What were my outgoings during the Last fiscal year?,Expense,Total,None,train
"As of This year to date, how many invoices for geeta kalapatapu remained unpaid?",Invoice,Count,FALSE,train
What was our Net Income as of Last month?,Sales,Total,None,train
"Since today, how many invoices have been late?",Invoice,Count,FALSE,train
How much credit does john melton have Last 7 days,Sales,Total,FALSE,test
What are my AP today?,Account Payable,Total,None,train
When was the last time we billed for refund & allowance,Invoice,Max,None,test
When was the first time 0969 ocean view road paid you?,Invoice,Min,TRUE,train
What was our total spend for bob's burger joint in the This week?,Expense,Total,None,train
Show number of transactions with gevelber photography,Invoice,Count,None,train
What is my max invoice from cal telephone?,Bill,Max,None,test
When was the last time we billed for pest control,Invoice,Max,None,test
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
What's the total number of invoices we've issued weiskopf consulting?,Invoice,Count,None,train
What is my total revenue for cool cars in the This quarter to date?,Sales,Total,None,train
What was our Net Income as of This quarter to date?,Sales,Total,None,train
"As of This week to date, how many invoices for barnett design were still unpaid?",Invoice,Count,FALSE,train
"As of Last month, what was our net income?",Sales,Total,None,train
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
"In the Last month, what has been my min revenue from geeta kalapatapu?",Sales,Min,None,test
Show how many transactions you've had with weiskopf consulting,Invoice,Count,None,test
How much money did we make Last quarter?,Sales,Total,None,train
"In the yesterday, how many rocks did I sell?",Invoice,Count,None,train
"This month to date, what was our largest expense?",Expense,Max,None,train
Display all of sonnenschein family store's transactions,Invoice,Count,None,test
How much money did we make Last fiscal year?,Sales,Total,None,train
"As of This quarter to date, what was our net income?",Sales,Total,None,train
How much money did we make today?,Sales,Total,None,train
"This week to date, what are my account receivable?",Account Receivables,Total,None,train
How much revenue came through cool car last month?,Sales,Total,None,train
How much did we spend on books by bessie in today?,Expense,Total,TRUE,train
How much have we been spending on utility?,Expense,Total,None,train
What were my expenses in the This quarter to date?,Expense,Total,None,train
What was our total spend for tim philip masonry in the This month?,Expense,Total,None,train
What was our greatest expense This month?,Expense,Max,None,test
"Last 7 days, what are my account receivable?",Account Receivables,Total,None,train
How much money did we make This month to date?,Sales,Total,None,train
How much we received from checking in Last 12 months?,Invoice,Total,None,train
How much did we spend on associate in This fiscal year to date?,Expense,Total,TRUE,train
How much money does diego rodriguez still owe?,Sales,Total,FALSE,train
How much money does amy's bird sanctuary still owe?,Sales,Total,FALSE,train
What was our smallest expense This week to date?,Expense,Min,None,train
How much revenue came through duke basketball camp last month?,Sales,Total,None,train
How much money did we make today?,Sales,Total,None,train
"Since Last year, how many invoices have been past due?",Invoice,Count,FALSE,train
When did mark cho first pay?,Invoice,Min,None,train
"As of This quarter to date, how many invoices for diego rodriguez were still unpaid?",Invoice,Count,FALSE,train
How much credit does rago travel agency have This year to date,Sales,Total,FALSE,test
Who has the lowest money outstanding?,Invoice,Min,None,test
When was the last time rondonuwu fruit and vegi paid you?,Invoice,Max,TRUE,train
